mol_id,product,exact_match,match_count,building_block_hit,reactants_total,reactants_match
mol_30,CC(C)C(=O)CC(=O)O,1,2,1,2,2
mol_31,CC(C)CC(=O)NCCc1c[nH]cn1,1,2,1,2,2
mol_32,CC(=O)CCC(N)C(=O)O,0,1,1,3,2
mol_33,C[C@H](N)CC[C@@H](N)C(=O)O,0,0,1,2,1
mol_34,C/C=C(\C)C(=O)O[C@@H]1CCN2CC3CC(CN4C(=O)CCCC34)C2C1,0,-1,0,5,0
mol_35,O=C1CCCC2C3CC(CN12)C1CCCCN1C3,1,3,1,3,3
mol_36,O=C1C2CC(CN3CCCCC23)C2CCCCN12,1,2,1,2,2
mol_37,O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN1,1,5,1,5,5
mol_38,O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN1,1,5,1,5,5
mol_39,NCCCCCN(O)C(=O)CCC(=O)O,1,3,1,3,3
mol_40,CC(=O)N(O)CCCCCN,1,3,1,3,3
mol_41,NCCCCCNO,1,2,1,2,2
mol_42,NCCCCCNCCCN,1,2,1,2,2
mol_43,OC[C@@H]1CCCN2CCCC[C@H]12,0,-1,0,2,0
mol_44,C[C@@H]1CC=N[C@H]1C(=O)NCCCC[C@H](N)C(=O)O,0,-1,0,3,0
mol_45,C[C@H](CCN)[C@@H](N)C(=O)NCCCC[C@H](N)C(=O)O,0,0,1,2,1
mol_46,CC(=O)N(O)CCCC[C@H](N)C(=O)O,1,2,1,2,2
mol_47,CC(=O)NCCC[C@H](N)CC(=O)O,0,0,1,2,1
mol_48,C[C@H](N)C[C@H](N)CC(=O)O,0,-1,0,2,0
mol_49,N[C@@H]1CCCCNC1=O,0,0,1,2,1
mol_50,C[S+](C)CCCN,0,0,1,2,1
mol_51,C=C[C@@](C)(C/C=C/C(C)(C)O)c1ccc2c3c(c[nH]c13)C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C,0,-1,0,4,0
mol_52,C=C[C@@](C)(CCC(O)C(=C)C)c1ccc2c3c(c[nH]c13)C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C,0,-1,0,4,0
mol_53,C=C[C@@](C)(CCC=C(C)C)c1ccc2c3c(c[nH]c13)C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C,0,-1,0,3,0
mol_54,CC(C)[C@H]1C(=O)N[C@H](CO)Cc2c[nH]c3cccc(c23)N1C,0,-1,0,2,0
mol_55,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)O,0,-1,0,2,0
mol_56,O=C1CN[C@H](C(=O)O)C1,0,0,1,2,1
mol_57,O=C(O)[C@H]1C[C@@H](O)CN1,0,0,1,2,1
mol_58,Cc1nccc2c1[nH]c1cc(O)ccc12,0,-1,0,3,0
mol_59,CC1=NCCc2c1[nH]c1cc(O)ccc21,0,-1,0,2,0
mol_60,CNCCc1c[nH]c2ccccc12,0,-1,0,2,0
mol_61,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,0,-1,0,2,0
mol_62,Cc1nccc2c1[nH]c1ccccc12,0,0,1,2,1
mol_63,C[C@H]1NCCc2c1[nH]c1ccccc21,0,-1,0,2,0
mol_70,O=C1c2ccccc2-n2c(nc3ccccc3c2=O)[C@@H]2C[C@]3(O)c4ccccc4N[C@@H]3N12,0,-1,0,2,0
mol_71,O=C1c2ccccc2-n2c(nc3ccccc3c2=O)[C@@H]2C[C@]3(O)c4ccccc4NC3N12,0,-1,0,2,0
